Term	Notes	English	Vietnamese
card_animal_pen_description		Can hold 5 Animals	Có thể giữ 5 gia súc
card_animal_pen_name		Animal Pen	Chuồng gia súc
card_apple_description		Keeps doctors away	Giữ bác sĩ ở xa
card_apple_name		Apple	Táo
card_apple_tree_description		A tree.. with apples in it	Cũng là cây nhưng có Táo
card_apple_tree_name		Apple Tree	Cây Táo
card_apple_tree_status		Punching Apple Tree	Đang đấm cây Táo
card_bear_description		Soft yet dangerous	Mềm mại nhưng hung dữ
card_bear_name		Bear	Gấu
card_berry_description		A simple food found in Berry Bushes	Quả đuọc tìm thấy trong bụi dâu dại
card_berry_name		Berry	Quả dâu dại
card_berrybush_description		A bush with delicious berries in it	Một bụi quả dâu dại ngon
card_berrybush_name		Berry Bush	Bụi quả dâu dại
card_berrybush_status		Picking Berry Bush	Đang nhặt quả dâu dại
card_bone_description		Fact: a skeleton consists of many of these	Sự thật: Một bộ xương thường bao gồm những cái này
card_bone_name		Bone	Xương
card_brick_description		A strong building material	Vật liệu xây dựng chắc chắn
card_brick_name		Brick	Gạch
card_brickyard_description		Quickly turns Stone into Bricks	Biến Đá thành Gạch một cách nhanh chóng
card_brickyard_name		Brickyard	Sân đóng Gạch
card_campfire_description		Can be used to cook foods - it looks warm & cozy	Có thể dùng để nấu đồ ăn - mang lại cảm giác ấm cúng
card_campfire_name		Campfire	Lửa trại
card_carrot_description		The crunchiest vegetable	Rau củ giòn nhất
card_carrot_name		Carrot	Cà rốt
card_catacombs_description		Rumored to contain a mysterious object	Nghe đồn là có kỳ vật bên trong
card_catacombs_name		Catacombs	Hầm mộ
card_catacombs_status		Exploring Catacombs	Đang khám phá Hầm mộ
card_chicken_description		Alleged descendent of dinosaurs. I don't see it	Được cho là hậu duệ của khùng long. Tôi không nghĩ là vậy
card_chicken_name		Chicken	Gà
card_cooked_meat_description		It's cooked medium rare	Thịt này nấu hơi tái
card_cooked_meat_name		Cooked Meat	Thịt đã nấu
card_corpse_description		A dead human	Xác người
card_corpse_name		Corpse	Xác
card_cow_description		MOOOOOO!	ÙUUUUUM BÒOOOOO!
card_cow_name		Cow	Bò sữa
card_demon_description		The Final Boss	Boss cuối
card_demon_name		Demon	Ác quỷ
card_dog_description		Humanity's true best friend. Can do anything a Human can, just slower!	Bạn thân thực sự của loài người. Có thể làm mọi thứ mà Người có thể làm, chỉ là chậm hơn!
card_dog_name		Dog	Chó
card_egg_description		Can't be eaten raw: thanks salmonella	Không thể ăn sống: hay lắm khuẩn salmonella
card_egg_name		Egg	Trứng gà
card_explorer_description		Very fast at exploring Locations, but slightly slower at other tasks	Rất nhanh trong việc đi khám phá Địa danh, nhưng hơi chậm khi làm việc khác
card_explorer_name		Explorer	Nhà thám hiểm
card_farm_description		An advanced building for growing Food	Một nơi chuyên để trồng Thức ăn
card_farm_name		Farm	Nông trại
card_flint_description		Used to start fires	Dùng để đánh lửa
card_flint_name		Flint	Đá lửa
card_forest_description		A quaint place that also contains monsters	Rừng có quái vật
card_forest_name		Forest	Rừng
card_forest_status		Exploring Forest	Đang thám hiểm rừng
card_frittata_description		Delicious! Eat it with a fork	Rất là ngon! Hãy ăn nó với nĩa
card_frittata_name		Frittata	Frittata
card_fruit_salad_description		A classic ancient food	Một món ăn cổ điển
card_fruit_salad_name		Fruit Salad	Salad trái cây
card_garden_description		A simple building for growing Food	Một nơi để trồng Thức ăn
card_garden_name		Garden	Vườn
card_giant_rat_description		Big version of a small Rat	Phiên bản bự của chuột nhắt
card_giant_rat_name		Giant Rat	Chuột bự
card_goblet_description		A mysterious object	Kỳ vật
card_goblet_name		Golden Goblet	Chiếc cốc vàng
card_goblin_description		A monster with bad posture	Một con quái vật với tướng đứng xấu
card_goblin_name		Goblin	Goblin
card_gold_description		Humanity's best friend	Bạn thân nhất của loài người
card_gold_name		Coin	Đồng xu
card_graveyard_description		Very different from a normal yard	Rất là khác với 1 cái sân bình thường
card_graveyard_name		Graveyard	Nghĩa địa
card_graveyard_status		Exploring Graveyard	Đang thám hiểm nghĩa địa
card_house_description		A nice place to live	Một nơi tốt để ở
card_house_name		House	Nhà
card_iron_bar_description		A shiny, valuable material	Một vật liệu ánh kim và có giá trị
card_iron_bar_name		Iron Bar	Thanh sắt
card_iron_deposit_description		Contains Iron Ore	Có chứa quặng sắt
card_iron_deposit_name		Iron Deposit	Vỉa quặng sắt
card_iron_deposit_status		Punching Deposit	Đang đấm vỉa quặng
card_iron_ore_description		Can be turned into Iron Bars	Có thể biển thành thanh sắt
card_iron_ore_name		Iron Ore	Quặng sắt
card_key_description		I wonder what it's for..	Dùng để mở gì vậy ta?
card_key_name		Key	Chìa khoá
card_kid_description		A young'un. Needs a House to grow up in.	Một đứa bé con. Cần một căn nhà để lớn lên.
card_kid_name		Baby	Em bé
card_lumbercamp_description		An unlimited resource of Wood	Nơi cung cấp gỗ vô hạn định
card_lumbercamp_name		Lumber Camp	Trại gỗ
card_lumbercamp_status		Logging in Camp	Đang chặt gỗ
card_map_description		Use a Map to turn a Villager into an Explorer	Dùng bản đồ để đào tạo dân làng thành nhà thám hiểm
card_map_name		Map	Bản đồ
			
card_market_name		Market	Chợ
card_militia_description		Slower at working, better at fighting	Làm việc chậm nhưng đánh nhau giỏi
card_militia_name		Militia	Dân quân
card_milk_description		Fresh from the Cow	Được vắt thẳng từ bò
card_milk_name		Milk	Sữa bò
card_milkshake_description		It's Berry flavoured	Sữa này có vị quả dâu dại
card_milkshake_name		Milkshake	Sữa lắc
card_mountain_description		A hill with a pointy edge	Ngọn đồi với đỉnh nhọn
card_mountain_name		Mountain	Núi
card_mountain_status		Exploring Mountain	Đang thám hiểm núi
card_mushroom_description		An edible fungus	Nấm có thể ăn được
card_mushroom_name		Mushroom	Nấm
card_old_tome_description		A book with some Idea in it	Một cuốn sách với 1 vài ý tưởng trong đó
card_old_tome_name		Old Tome	Cổ thư
card_old_tome_status		Studying Old Tome	Đang đọc Cổ thư
card_old_village_description		A person is rumored to still live here..	Nghe đồn là vẫn có người sống ở đây...
card_old_village_name		Old Village	Làng cổ
card_old_village_status		Exploring Old Village	Đang thám hiểm làng cổ
card_omelette_description		Pépin would be proud	Pépin sẽ cảm thấy tự hào
card_omelette_name		Omelette	Trứng chiên
card_onion_description		Can be eaten raw or can be cooked, whichever you prefer	Có thể ăn sống hoặc nấu lên, tuỳ ý bạn
card_onion_name		Onion	Hành
card_plains_description		The great outdoors	Vùng ngoại ô
card_plains_name		Plains	Đồng bằng
card_plains_status		Exploring Plains	Đang thám hiểm đồng bằng
card_plank_description		A strong building material	Vật liệu xây dựng vững chắc
card_plank_name		Plank	Phản gỗ
card_poop_description		It looks stinky	Mùi hơi hôi
card_poop_name		Poop	Phân
card_potato_description		Smooth and starchy, but should be cooked first	Mịn và nhiều tinh bột, nhưng nên nấu chín trước
card_potato_name		Potato	Khoai tây
card_quarry_description		An unlimited resource of Stone	Nơi cung cấp Đá vô hạn định
card_quarry_name		Quarry	Mỏ đá
card_quarry_status		Mining in Quarry	Đang đào đá
card_rabbit_description		Fluffy poop machine	Cục lông hay ỉa
card_rabbit_name		Rabbit	Thỏ
card_rat_description		Small version of a Giant Rat	Bản thu nhỏ của chuột bự
card_rat_name		Rat	Chuột nhắt
card_raw_meat_description		Should be cooked first	Nên nấu trc khi ăn
card_raw_meat_name		Raw Meat	Thịt sống
card_rock_description		It looks sturdy, yet punchable	Trông cứng nhưng có thể đấm được
card_rock_name		Rock	Tảng đá
card_rock_status		Punching Rock	Đang đấm tảng đá
card_sawmill_description		Quickly turns Wood into Planks	Chẻ gỗ thành phản một cách nhanh chóng
card_sawmill_name		Sawmill	Xưởng cưa
card_shed_description		Increases your Card Cap by 4	Nâng giới hạn thẻ bài thêm 4
card_shed_name		Shed	Nhà kho
card_skeleton_description		A monster consisting of a set of bones	Một loại quái vật được tạo nên từ một bộ xương
card_skeleton_name		Skeleton	Bộ xương di động
card_slime_description		3 small slimes in a trench coat	3 quái slime trong một cái áo bành tô
card_slime_name		Slime	Slime
card_small_slime_description		A goodie-filled goo	Một cục chất nhầy
card_small_slime_name		Small Slime	Slime nhỏ
card_soil_description		A simple and slow way of growing Food	Một nơi để trồng Thức ăn một cách chậm chạp
card_soil_name		Soil	Đất
card_spear_description		Stick with a pointy end	Gậy có đầu nhọn
card_spear_name		Spear	Giáo
card_stew_description		A hearty meal	Một bữa ăn no nê
card_stew_name		Stew	Súp
card_stick_description		Used to be part of a Tree	Đã từng là một phần của một cái cây
card_stick_name		Stick	Nhánh cây
card_stone_description		A simple resource	Một loại vật liêu đơn giản
card_stone_name		Stone	Đá
card_stove_description		Cooks faster than a Campfire	Nấu nhanh hơn lửa trại
card_stove_name		Stove	Bếp
card_strange_portal_description		It looks threatening	Trông đáng sợ
card_strange_portal_name		Strange Portal	Kỳ môn
card_sword_description		An Iron Bar with a pointy end	Một thanh sắt có đầu nhọn
card_sword_name		Sword	Kiếm
card_swordsman_description		Slower at working, way better at fighting	Làm việc chậm nhưng đánh nhau giỏi hơn nhiều
card_swordsman_name		Swordsman	Kiếm thủ
card_temple_description		An important place of worship. It needs a mysterious artifact.	Một nơi dùng để tôn thờ. Cần đặt kỳ vật lên
card_temple_name		Temple	Đền thờ
card_travelling_cart_description		Give me 5 Coins and I'll give you a Card!	Cho tôi 5 xu và tôi sẽ cho bạn 1 lá bài!
card_travelling_cart_name		Travelling Cart	Thương nhân
card_treasure_chest_description		It's locked	Nó bị khoá
card_treasure_chest_name		Treasure Chest	Rương báu
card_tree_description		Made of Wood and Sticks	Được làm từ gỗ và nhánh cây
card_tree_name		Tree	Cây
card_tree_status		Punching Tree	Đang đấm cây
card_villager_description		A hard-working pioneer	Một người tiên phong cần cù
card_villager_name		Villager	Dân làng
card_warehouse_description		Increases your Card Cap by 14	Nâng giới hạn thẻ bài thêm 14
card_warehouse_name		Warehouse	Nhà kho lớn
card_wolf_description		It looks vicious	Trông hung dữ
card_wolf_name		Wolf	Sói
card_wood_description		A simple resource	Một loại vật liệu đơn giản
card_wood_name		Wood	Gỗ
cardtype_food		Food	Đồ ăn
cardtype_humans		Humans	Người
cardtype_ideas		Ideas	Ý tưởng
cardtype_locations		Locations	Địa danh
cardtype_mobs		Mobs	Sinh vật
cardtype_resources		Resources	Vật liệu
cardtype_structures		Structures	Kiến trúc
idea_animalpen_status_0		Building an Animal Pen	Cách xây chuồng gia súc
idea_brick_status_0		Creating Brick	Cách đóng gạch
idea_brickyard_status_0		Building a Brickyard	Cách xây sân đóng gạch
idea_campfire_status_0		Starting a Campfire	Cách làm lửa trại
idea_carving_status_0		Creating a Stick	Cách làm một cây gậy
idea_chicken_status_0		Chicken is brooding	Gà đang ấp
idea_coinchest_status_0		Making a Coin Chest	Cách làm rương xu
idea_cookedmeat_status_0		Cooking Meat	Cách nấu thịt
idea_farm_status_0		Building a Farm	Cách xây nông trại
idea_frittata_status_0		Cooking Frittata	Cách nấu Frittata
idea_fruitsalad_status_0		Making a Fruit Salad	Cách làm salad trái cây
idea_garden_status_0		Building a Garden	Cách xây vườn
idea_growth_name		Growth	Trưởng thành
idea_growth_status_0		Growing a Berry Bush	Cách trồng bụi quả dâu dại
idea_growth_status_1		Growing an Apple Tree	Cách trồng cây táo
idea_growth_status_2		Growing Carrots	Cách trồng cà rốt
idea_growth_status_3		Growing Onions	Cách trồng hành
idea_growth_status_4		Growing Potatoes	Cách trồng khoai tây
idea_growth_status_5		Growing Mushrooms	Cách trồng nấm
idea_house_status_0		Building a House	Cách xây nhà
idea_ironweapons_status_0		Creating Sword	Cách đúc kiếm
idea_ironweapons_status_1		Training Swordsman	Cách đào tạo kiếm thủ
idea_lumbercamp_status_0		Building a Lumber Camp	Cách xây trại gỗ
idea_market_status_0		Building a Market	Cách xây chợ
idea_milkshake_status_0		Making a Milkshake	Cách làm sữa lắc
idea_mine_status_0		Building a Mine	Cách xây mỏ quặng sắt
idea_offspring_name		Offspring	Em bé
idea_offspring_status_0		Creating Offspring	Cách làm em bé
idea_offspring_status_1		Creating Puppy	Cách làm chó con
idea_omelette_status_0		Cooking an Omelette	Cách chiên trứng
idea_planks_status_0		Creating Plank	Cách làm phản gỗ
idea_quarry_status_0		Building a Quarry	Cách xây mỏ đá
idea_sawmill_status_0		Building a Sawmill	Cách xây xưởng cưa
idea_shed_status_0		Building a Shed	Cách xây nhà kho
idea_smelting_status_0		Building a Smelter	Cách xây lò luyện
idea_smelting_status_1		Smelting Iron	Cách nung sắt
idea_stew_status_0		Cooking a Stew	Cách nấu súp
idea_stove_status_0		Building a Stove	Cách xây bếp
idea_temple_status_0		Building a Temple	Cách xây đền thờ
idea_warehouse_status_0		Building a Warehouse	Cách xây nhà kho lớn
idea_woodenweapons_status_0		Creating a Spear	Cách vọt giáo
idea_woodenweapons_status_1		Training Militia	Cách đào tạo dân quân
idea_woodenweapons_status_2		Training Explorer	Cách đào tạo nhà thám hiểm
ideagroup_basic		Basic	Căn bản
ideagroup_building		Building	Xây dựng
ideagroup_cooking		Cooking	Nấu ăn
ideagroup_military		Military	Quân đội
ideagroup_resources		Resources	Vật liệu
label_an_idea		An Idea	Một ý tưởng
label_back		Back	Quay lại
label_back_to_menu		Back to menu	Quay lại màn hình chính
label_buy_packs_to_find_idea		Buy Packs to find this Idea	Mua Pack để kiếm ý tưởng
label_cant_be_sold		Can't be sold	Không thể bán
label_card_not_found		Card not yet found	Lá bài này chưa được tìm thấy
label_cardopedia	The in-game encyclopedia for cards	Cardopedia	Bách khoa toàn thư lá bài
label_cards_found		[found]/[total] Cards Found	[found]/[total] lá bài được tìm thấy
label_cards_infobox		Your current maximum amount of Cards is [max_card_count]. You have [card_count] [cardicon] (does not include Coins)	Số lá bài tối đa bạn có thể có [max_card_count]. Bạn đang có [card_count] [cardicon] (không đếm đồng xu)
label_cards_infobox_warning		You have too many [cardicon]. Get rid of Cards or you'll have to sell Cards at the end of the Moon!	Bạn có quá nhiều [cardicon]. Hãy bỏ bớt lá bài đi hoặc bạn sẽ phải bán bớt khi cuối tháng!
label_clear_save		Clear Save	Xoá save
label_clear_save_confirm		Are you sure you want to clear your save?	Bạn có chắc là bạn có muốn xoá save của bạn?
label_click_this_pack		Click this Pack to get Cards!	Nhấn vào Gói để lấy Lá bài!
label_coin_infobox_text		The total amount of Coins you have	Tổng số đồng xu của bạn
label_coin_infobox_title		Coins	Xu
label_combat_speed		Attack Speed:	Tốc độ đánh
label_complete_more_quests		<one>Complete 1 more quest to unlock a new Pack!<other>Complete [remaining] more quests to unlock a new Pack!	<one>Hoàn thành thêm 1 nhiệm vụ để mở khoá 1 Gói mới!<other>Hoàn thành thêm [remaining] nhiệm vụ để mở khoá 1 Gói mới!
label_complete_more_quests_for_pack		<one>Complete 1 more quest to unlock this Pack!<other>Complete [remaining] more quests to unlock this Pack!	<one>Hoàn thành thêm 1 nhiệm vụ để mở khoá Gói này!<other>Hoàn thành thêm [remaining] nhiệm vụ để mở khoá Gói này!
label_completed_main_quest		You completed the Main Quest!	Bạn đã hoàn thành Nhiệm vụ Chính!
label_continue		Continue	Tiếp tục
label_continue_run		Continue Run (Moon [moon])	Tiếp tục ([moon] tháng)
label_credits		Credits	
label_damage		Damage:	Sát thương:
label_drag_coins_to_buy_pack		Drag [cost][goldicon] here to buy this Pack	Kéo [cost][goldicon] vào đây để mua Gói này
label_drop_to_sell		Drop to sell for [value]	Thả vào để bán với giá [value]
label_eating		Eating..	Đang ăn..
label_end_of_moon		End of Moon [moon]	Hết tháng [moon]
label_everyone_fed		Everyone was fed!	Tất cả mọi người được ăn no!
label_everyone_starved		Everyone starved to death!	Tất cả mọi người chết đói!
label_feed_villagers		Feed Villagers	Cho dân làng ăn
label_foil	Term to describe a "shiny" card	(foil)	(hiếm)
label_food_infobox		Every Moon you need [required_food_count] [foodicon] to feed your Humans. You currently have [food_count] [foodicon]	Mỗi tháng bạn cần [required_food_count] [foodicon] để cho dân của bạn ăn. Bạn hiện có [food_count] [foodicon]
label_food_infobox_warning		Get [foodicon] so you won't lose your humans!	Kiếm [foodicon] để không bị mất dân của bạn!
label_fullscreen		Fullscreen: [on_off]	Toàn màn hình: [on_off]
label_game_options		Game Options	Tuỳ chọn
label_game_over		Game Over	Kết thúc trò chơi
label_goblet_brought_to_temple		The Goblet was brought to the Temple	Chiếc cốc vàng đã được đặt trong Đền thờ
label_hit_chance		Hit Chance:	Độ chính xác:
label_idea_fullname		Idea: [name]	Ý tưởng: [name]
label_ideas		Ideas	Ideas
label_ideas_found		[found]/[total] Ideas Found	[found]/[total] Ý tưởng được tìm thấy
label_keep_playing		Keep playing to collect every Card!	Hãy tiếp tục chơi để phát hiện tất cả Lá bài!
label_languages_title		Languages	Ngôn ngữ
label_may_contain		May contain:	Có thể chứa:
label_moon_length		Moon Length	Độ dài 1 tháng
label_moon_length_long		Long	Dài
label_moon_length_normal		Normal	Trung bình
label_moon_length_short		Short	Ngắn
label_moon_length_tooltip		The length of a Moon - longer is easier	Độ dài của 1 tháng - dài hơn thì dễ hơn
label_music		Music: [on_off]	Nhạc: [on_off]
label_new		New!	Mới!
label_new_cards_found		<one>1 New Card Found<other>[count] New Cards Found	<one>1 Lá bài mới được tìm thấy<other>[count] Lá bài mới được tìm thấy
label_new_pack_unlocked		New Pack Unlocked!	Gói mới đã được mở khoá
label_new_run_confirm		Are you sure you want to start a new run? You'll lose the progress in your current run!	Bạn có chắc là muốn chơi mới? Bạn sẽ mất những gì đã có trong lần chơi này!
label_nice		Nice!	Hay!
label_no		No	Không
label_off		Off	Tắt
label_okay		Okay	Ok
label_on		On	Bật
label_options		Options	Tuỳ chọn
label_pack_now_available		[pack] Pack is now available!	Gói [pack] đã có hàng
label_paused		Paused	Tạm dừng
label_peaceful_mode		Peaceful Mode	Chế độ yên bình
label_peaceful_mode_tooltip		No enemies in Peaceful Mode	Không có quái vật trong chế độ yên bình
label_quest		Quest	Nhiệm vụ
label_quest_completed		Quest Completed!	Nhiệm vụ đã được hoàn thành!
label_quest_not_possible_in_peaceful		Not possible in Peaceful Mode	Bất khả thi trong chế độ yên bình
label_quests		Quests	Nhiệm vụ
label_quests_completed		<one>1 Quest Completed<other>[count] Quests Completed	<one>Một nhiệm vụ đã được hoàn thành<other>[count] nhiệm vụ đã được hoàn thành
label_quit		Quit	Thoát
label_resolution		Resolution: [width]x[height]	Độ phân giải: [width]x[height]
label_resolutions_title		Resolutions	Độ phân giải
label_seconds_format		[seconds]s	[seconds] giây
label_seconds_left_format		[seconds]s left	còn lại [seconds] giây
label_select_language		Select Language	Chọn ngôn ngữ
label_sell		Sell	Bán
label_sell_cards_to_continue		Sell Cards to continue	Bán bớt lá bài để tiếp tục
label_sell_x_cards		<one>Sell 1 Card<other>Sell [count] Cards	<one>Bán 1 lá bài<other>Bán [count] lá bài
			
label_sellbox_title		Selling Cards	Bán lá bài
label_sfx		SFX: [on_off]	
label_stack_of_cards		Stack of Cards	Chồng bài
label_start_new_moon		Start New Moon	Bắt đầu tháng mới
label_start_new_run		Start New Run	Bắt đầu lần chơi mới
label_start_of_moon		Start of Moon [moon]	Bắt đầu tháng [moon]
label_start_run		Start Run	Bắt đầu lần chơi
label_start_the_ritual		Start the Ritual	Bắt đầu nghi thức
label_starving_humans		<one>There is not enough Food.. 1 Human will starve of Hunger<other>There is not enough Food.. [count] Humans will starve of Hunger	<one>Không đủ đồ ăn.. Một dân làng sẽ chết đói<other>Không đủ đồ ăn.. [count] dân làng sẽ chết đói
label_strange_portal_appeared		A Strange Portal Appeared	Một Kỳ môn đã xuất hiện
label_time_to_eat		Time to eat	Đến giờ ăn
label_timetext		Moon [moon]	Tháng [moon]
label_timetext_peaceful		Moon [moon] - Peaceful Mode	Tháng [moon] - Chế độ yên bình
			
label_toggle_panel_title		Toggle Panel	Ẩn hiện Bảng
label_too_many_cards		<one>You have 1 Card too many!<other>You have [count] Cards too many!	<one>Bạn đang có nhiều hơn tối đa 1 Lá bài!<other>Bạn đang có nhiều hơn tối đa [count] Lá bài!
label_travelling_cart_appeared		A Travelling Cart Appeared	Một thương nhân đã xuất hiện
label_uh_oh		Uh oh	Thôi rồi
label_undiscovered_cards		<one>1 undiscovered Card<other>[count] undiscovered Cards	<one>Một lá bái chưa được tìm thấy<other>[count] lá bài chưa được tìm thấy
label_well_done		Well done!	Tốt lắm!
label_yes		Yes	Đúng vậy
label_you_killed_the_demon		You killed the Demon!	Bạn đã giết Ác quỷ!
label_you_reached_moon		You reached Moon [moon]	Bạn đã sống tới tháng [moon]
pack_a_new_world_text	Name of your first Card Pack	A New World	Một thế giới mới
pack_cuisine_text	Name of a Card Pack related to Cooking	Curious Cuisine	Món ngon đó đây
pack_explorers_text	Name of a Card Pack related to Exploring	Explorers	Nhà thám hiểm
pack_farming_text	Name of a Card Pack related to Farming	Reap & Sow	Trồng trọt
pack_humble_beginnings_text	Name of a Card Pack related to Beginning	Humble Beginnings	Khởi đầu khiêm tốn
pack_logic_reason_text	Name of a Card Pack related to Ideas	Logic and Reason	Những điều suy ngẫm
pack_order_structure_text	Name of a Card Pack related to Ideas	Order and Structure	Kiến trúc và quy hoạch
pack_seeking_wisdom_text	Name of a Card Pack related to Ideas	Seeking Wisdom	Tìm hiểu sâu hơn
quest_3_villagers_text		Get 3 Villagers	Tìm được 3 dân làng
quest_bring_goblet_text		Bring the Goblet to the Temple	Đặt chiếc cốc vàng vào Đền thờ
quest_build_3_houses_text		Have 3 Houses	Xây 3 căn nhà
quest_build_farm_text		Build a Farm	Xây 1 trang trại
quest_build_house_text		Build a House	Xây 1 căn nhà
quest_build_temple_text		Build a Temple	Xây 1 đền thờ
quest_buy_booster_text	Name used in "pack_a_new_world_text" key	Buy the Humble Beginnings Pack	Mua Gói Khởi đầu khiêm tốn
quest_buy_from_travelling_cart_text		Buy something from a Travelling Cart	Mua từ thương nhân
quest_carve_stick_text		Make a Stick from Wood	Vọt một cây gậy từ gỗ
quest_cook_frittata_text		Cook a Frittata	Nấu 1 đĩa Frittata
quest_cook_meat_text		Cook Raw Meat	Nấu thịt
quest_cook_omelette_text		Cook an Omelette	Chiên trứng
quest_create_brickyard_text		Build a Brickyard	Xây 1 sân đóng gạch
quest_create_lumbercamp_text		Build a Lumber Camp	Xây 1 trại gỗ
quest_create_offspring_text		Create Offspring	Sinh 1 đứa bé
quest_create_quarry_text		Build a Quarry	Xây 1 mỏ đá
quest_create_shed_text		Build a Shed	Xây 1 nhà kho
quest_explore_forest_text		Explore a Forest	Thám hiểm rừng
quest_explore_mountain_text		Explore a Mountain	Thám hiểm núi
quest_find_catacombs_text		Find the Catacombs	Tìm hầm mộ
quest_find_goblet_text		Find a mysterious artifact	Tìm kỳ vật
quest_find_graveyard_text		Find a Graveyard	Tìm nghĩa địa
quest_get_a_dog_text		Get a Dog	Thuần hoá 1 con chó
quest_get_iron_bar_text		Get an Iron Bar	Đúc 1 thanh sắt
quest_have_gold_text		Have [count] Coins	Có [count] xu
quest_have_10_ideas_text		Have 10 Ideas	Có 10 ý tưởng
quest_have_10_stone_text		Have 10 Stone	Có 10 cục đá
quest_have_10_wood_text		Have 10 Wood	Có 10 khúc gỗ
quest_have_food_text		Have [count] Food	Có [count] đồ ăn
quest_have_5_ideas_text		Have 5 Ideas	Có 5 ý tưởng
quest_kill_a_rat_text		Kill a Rat	Tiêu diệt 1 con chuột nhắt
quest_kill_a_skeleton_text		Kill a Skeleton	Tiêu diệt 1 bộ xương di động
quest_kill_demon_text		Kill the Demon	Tiêu diệt Ác quỷ
quest_open_starter_pack_text		Open the Booster Pack	Mở một Gói bài
quest_open_treasure_chest_text		Open a Treasure Chest	Mở một rương báu
quest_pick_berrybush_text		Drag the Villager on top of the Berry Bush	Kéo dân làng vào Bụi quả dâu dại
quest_plant_berry_bush_text		Grow a Berry Bush	Ươm 1 bụi quả dâu dại
quest_punch_rock_text		Punch a Rock	Đấm 1 tảng đá
quest_punch_tree_text		Punch a Tree	Đấm 1 cái cây
quest_reach_month_text		Reach Moon [count]	Sống tới tháng [count]
quest_second_villager_text		Get a Second Villager	Tìm được dân làng thứ 2
quest_sell_at_market_text		Sell a Card at a Market	Bán 1 lá bài ở Chợ
quest_sell_card_text		Sell a Card	Bán 1 lá bài
quest_start_campfire_text		Start a Campfire	Đốt 1 lửa trại
quest_train_explorer_text		Train an Explorer	Đào tạo 1 Nhà thám hiểm
quest_train_militia_text		Train Militia	Đào tạo Dân quân
quest_unlock_all_packs_text		Unlock all Packs	Mở khoá tất cả cái Gói bài
new_creating_graveyard		Creating Graveyard	Tạo ra nghĩa địa
new_selling_card		Selling [card]	Bán [card]
new_portal_shaking		The Portal is shaking	Cổng đang rung lắc
new_growing_up		Growing up	Trưởng thành
card_aquarium_description		Can hold 5 Fish	Có thể chứa 5 con cá
card_aquarium_name		Aquarium	Bể cá
card_banana_description		Everyone's favorite yellow fruit	Trái cây màu vàng mà ai cũng thích
card_banana_name		Banana	Chuối
card_banana_tree_description		Made of Bananas	Được làm từ nhiều nải Chuối
card_banana_tree_name		Banana Tree	Cây Chuối
card_banana_tree_status		Punching Banana Tree	Đang đấm cây Chuối
card_boat_status		Sailing Off	Giương buồm
card_bottle_of_rum_description		Be careful: gets Villagers drunk!	Cẩn thận: khiến cho dân làng bị say!
card_bottle_of_rum_name		Bottle of Rum	Chai rượu Rum
card_bottle_of_water_description		A transparent bottle filled with transparent liquid	Chai trong suốt chứa chất lỏng trong suốt
card_bottle_of_water_name		Bottle of Water	Chai nước
card_captain_description		An expert in naval travel, sails off faster	Chuyên gia lái tàu biển, đi biến nhanh hơn
card_captain_name		Captain	Thuyền trưởng
card_cathedral_description		An important place of worship. It needs a relic.	Một nơi để tôn thờ. Cần đặt 1 thánh vật vào.
card_cathedral_name		Cathedral	Nhà thờ
card_cave_description		Pirates used to keep their Treasure Maps in these..	Cướp biển hay cất bản đồ kho báu trong này
card_cave_name		Cave	Hang động
card_cave_status		Exploring Cave	Đang thám hiểm hang động
card_ceviche_description		Sour fish, what's not to like	Cá lên men, có gì để không thích
card_ceviche_name		Ceviche	Ceviche
card_charcoal_description		Functions as an antidote for Snake Poison	Giải dược cho độc từ rắn
card_charcoal_name		Charcoal	Than hoạt tính
card_chili_pepper_description		Nice and spicy	Ngon và cay
card_chili_pepper_name		Chili Pepper	Ớt
