Term	Notes	English	Vietnamese
card_coconut_description		It's a fruit, not a nut!	Quả là trái cây, ko phải là hạt
card_coconut_name		Coconut	Quả dừa
card_coconut_piece_description		Tropical!	Nhiệt đới!
card_coconut_piece_name		Coconut Piece	Miếng dừa
card_coconut_tree_description		Made of Coconuts	Được làm từ quả dừa
card_coconut_tree_name		Coconut Tree	Cây dừa
card_coconut_tree_status		Punching Coconut Tree	Đang đấm cây dừa
card_cod_description		A type of fish	Một loại cá
card_cod_name		Cod	Cá tuyết
card_coin_chest_description		A chest that can hold Coins	Rương để đựng xu
card_coin_chest_description_long		A chest that can hold Coins. Click to remove Coins. Contains [count]/[max_count][goldicon]	Rương để đựng xu. Nhấp để lấy xu ra. Đang chứa [count]/[max_count][goldicon]
card_coin_chest_name		Coin Chest	Rương đựng xu
card_composter_description		Turns 5 Food into Soil	Biến 5 đồ ăn thành đất
card_composter_name		Composter	Thùng ủ
card_cooked_crab_meat_description		It's fancy	Thật là sang trọng
card_cooked_crab_meat_name		Cooked Crab	Cua luộc
card_cooked_fish_description		I can taste the grill marks	Có thể nếm được vết nướng
card_cooked_fish_name		Grilled Fish	Cá nướng
card_cotton_description		Nature's wool	Lông cừu thiên nhiên
card_cotton_name		Cotton	Bông
card_cotton_plant_description		Can be harvested for Cotton	Có thể gặt để lấy Bông
card_cotton_plant_name		Cotton Plant	Cây Bông
card_cotton_plant_status		Harvesting Cotton Plant	Đang gặt cây Bông
card_crab_description		Why does everything evolve into crabs?	Tại sao mọi thứ đều tiến hoá thành Cua?
card_crab_name		Crab	Cua
card_demon_lord_description		The final, final boss!	Boss cuối cuối!
card_demon_lord_name		Demon Lord	Chúa quỷ
card_distillery_description		Used for making booze	Dùng để làm rượu
card_distillery_name		Distillery	Nhà cất rượu
card_driftwood_description		A bunch of wood that has washed ashore	Một đống gỗ trôi dạt vào bờ biển
card_driftwood_name		Driftwood	Gỗ trôi dạt
card_driftwood_status		Rummaging through Driftwood	Đang lục trong đống gỗ trôi dạt
card_eel_description		Electric sea snake	Rắn biển có điện
card_eel_name		Eel	Lươn
card_empty_bottle_description		Made of Glass. Can be refilled!	Được làm từ thuỷ tinh. Có thể đổ đầy!
card_empty_bottle_name		Empty Bottle	Chai không
card_fabric_description		Fibres. together. strong.	Sợi. Để chung. Chắc chắn.
card_fabric_name		Fabric	Vải
card_fish_trap_description		Needs a type of Food as bait	Cần đồ ăn làm mồi
card_fish_trap_name		Fish Trap	Bẫy cá
card_fish_trap_status		Catching Fish	Đang bắt cá
card_fisher_description		An expert at fishing. Fish fear him	Chuyên gia câu cá. Cá sợ anh ta.
card_fisher_name		Fisher	Người câu cá
card_fishing_rod_description		Give it to a Villager to turn them into a Fisher	Đưa cho dân làng để họ biến thành Người câu cá
card_fishing_rod_name		Fishing Rod	Cần câu
card_fishing_spot_description		A body of water filled with Fish	Một vùng nước chứa đầy Cá
card_fishing_spot_name		Fishing Spot	Nơi câu cá
card_fishing_spot_status		Fishing	Đang câu cá
card_friendly_pirate_description		It has joined your side	Hắn đã theo phe của bạn
card_friendly_pirate_name		Friendly Pirate	Cướp biển hoàn lương
card_frigate_description		Can carry 25 Cards. Needs a Villager to start sailing. Can't carry Buildings	Có thể chở 25 lá bài. Cần 1 dân làng để giương buồm. Không thể chứa Kiến trúc.
card_frigate_name		Frigate	Tàu chiến
card_glass_description		A transparent resource	Một vật liệu trong suốt
card_glass_name		Glass	Thuỷ tinh
card_gold_bar_description		A very shiny, very valuable material	Một vật liệu rất sáng bóng, rất giá trị
card_gold_bar_name		Gold Bar	Thanh vàng
card_gold_deposit_description		It contains Gold Ore	Có chứa quặng Vàng
card_gold_deposit_name		Gold Deposit	Vỉa quặng Vàng
card_gold_deposit_status		Punching Gold Deposit	Đang đấm vỉa quặng Vàng
card_gold_mine_description		An unlimited resource of Gold Ore	Nơi cung cấp quặng Vàng vô hạn định
card_gold_mine_name		Gold Mine	Mỏ Vàng
card_gold_mine_status		Working in Gold Mine	Đang đào mỏ Vàng
card_gold_ore_description		Can be turned into Gold Bars	Có thể đúc thành thanh Vàng
card_gold_ore_name		Gold Ore	Quặng Vàng
card_goop_description		Smush, sludge, gunk: it's spoilt food	Nhão, ôi, cặn: đây là đồ ăn đã hư
card_goop_name		Goop	Đồ ăn thiu
card_greenhouse_description		A high-tech building for growing Food. Automatically replants crops.	Một kiến trúc chuyên để trông đồ ăn. Tự động trồng lại.
card_greenhouse_name		Greenhouse	Nhà kính
card_island_relic_description		Bring it to a Cathedral	Mang nó tới nhà thờ
card_island_relic_name		Island Relic	Thánh vật của đảo
card_jungle_description		A forest known for books	Rừng theo như trong sách
card_jungle_name		Jungle	Rừng già
card_jungle_status		Exploring Jungle	Đang thám hiểm Rừng già
card_kraken_description		Mad that you took its relic	Tức giận vì bạn lấy thánh vật của nó
card_kraken_name		Kraken	Kraken
card_lime_description		Round and sour	Tròn và chua
card_lime_name		Lime	Chanh
card_mackerel_description		A type of fish	Một loại cá
card_mackerel_name		Mackerel	Cá thu
card_mess_hall_description		Villagers will prioritize eating food that's on top of the Mess Hall	Dân làng sẽ ưu tiên ăn đồ ăn để trên Nhà ăn
card_mess_hall_name		Mess Hall	Nhà ăn
card_message_in_a_bottle_description		It seems to have an Idea in it	Hình như là có Ý tưởng trong này
card_message_in_a_bottle_name		Message in a Bottle	Tin nhắn trong chai
card_message_in_a_bottle_status		Opening Bottle	Đang mở chai
card_mine_description		An unlimited resource of Iron Ore	Nơi cung cấp quặng Sắt vô hạn định
card_mine_name		Iron Mine	Mỏ Sắt
card_mine_status		Working in Iron Mine	Đang đào mỏ Sắt
card_momma_crab_description		Maybe you shouldn't have killed those Crabs?	Bạn ko nên giết nhiều Cua như vậy
card_momma_crab_name		Momma Crab	Cua Mẹ
card_monkey_description		Would really like a Banana	Rất là muốn 1 quả Chuối
card_monkey_name		Monkey	Khỉ
card_parrot_description		Talks like a human, flies like a bird. Makes Pirates happy	Nói chuyện như người, bay như chim. Khiến Cướp biển vui
card_parrot_name		Parrot	Vẹt
card_pirate_boat_description		A boat full of Pirates	Một thuyền đầy Cướp biển
card_pirate_boat_name		Pirate Boat	Thuyền Cướp biển
card_pirate_boat_status		We'll leave you alone for [count] Coins..	Chúng tao sẽ để yên cho mày với [count] xu..
card_pirate_description		A burly angry seaman	Một thủy thủ vạm vỡ đang tức giận
card_pirate_name		Pirate	Cướp biển
card_raw_crab_meat_description		Should be cooked before consumption	Nên nấu trước khi ăn
card_raw_crab_meat_name		Raw Crab Meat	Thịt cua sống
card_raw_fish_description		It's slippery	Khá trơn
card_raw_fish_name		Raw Fish	Thịt cá sống
card_rope_description		Long and fibrous	Dài và nhiều sợi
card_rope_name		Rope	Dây thừng
card_rowboat_description		Can carry 1 Card. Needs a Villager to start sailing. Can't carry Buildings	Có thể chở 1 lá bài. Cần 1 dân làng để giương buồm. Không thể chứa Kiến trúc.
card_rowboat_name		Rowboat	Xuồng
card_sacred_chest_description		It needs a Sacred Key to be opened	Cần 1 chìa khoá quý để mở
card_sacred_chest_name		Sacred Chest	Rương quý
card_sacred_key_description		Forged with Glass and Gold. Used for opening the Sacred Chest.	Được đúc từ Thuỷ tinh và Vàng. Dùng để mở Rương quý
card_sacred_key_name		Sacred Key	Chìa khoá quý
card_sail_description		Used for making Boats	Dùng để làm thuyền
card_sail_name		Sail	Buồm
card_sand_description		The main ingredient for a nice beach	Thành phần chính của 1 bãi biển đẹp
card_sand_name		Sand	Cát
card_sand_quarry_description		An unlimited resource of Sand	Nơi cung cấp Cát vô hạn định
card_sand_quarry_name		Sand Quarry	Mỏ Cát
card_sand_quarry_status		Mining at Sand Quarry	Đang đào Cát
card_sandstone_description		An alternative to Stone. Can be used for anything Stone is needed for.	Có thể thay thế cho Đá. Có thể dùng thay cho Đá nếu cần.
card_sandstone_name		Sandstone	Đá cát
card_seafood_stew_description		Delicious Island stew	Súp ngon ngoài đảo
card_seafood_stew_name		Seafood Stew	Súp hải sản
card_seagull_description		An angry bird	Một con chim hung dữ
card_seagull_name		Seagull	Hải âu
card_seaweed_description		Salad of the sea	Salad của biển
card_seaweed_name		Seaweed	Rong biển
card_shark_description		A type of big angry fish	Một loại cá lớn và hung dữ
card_shark_name		Shark	Cá mập
card_sheep_description		Fluffy!	Thật êm!
card_sheep_name		Sheep	Cừu
card_shell_chest_description		A chest that can hold Shells	Rương để đựng mảnh Sò
card_shell_chest_description_long		A chest that can hold Shells. Click to remove Shells . Contains [count]/[max_count][shellicon]	Rương để đựng mảnh Sò. Nhấp để lấy mảnh Sò ra. Đang chứa [count]/[max_count][shellicon]
card_shell_chest_name		Shell Chest	Rương mảnh Sò
card_shell_description		The main currency on the Island	Tiền tệ chính trên Đảo
card_shell_name		Shell	Mảnh Sò
card_sloop_description		Can carry 10 Cards. Needs a Villager to start sailing. Can't carry Buildings	Có thể chở 10 lá bài. Cần 1 dân làng để giương buồm. Không thể chứa Kiến trúc.
card_sloop_name		Sloop	Thuyền nhỏ
card_smelter_description		Processes various materials by smelting them	Xử lý vật liệu bằng cách nấu chảy chúng
card_smelter_name		Smelter	Lò luyện
card_smelter_status		Smelting	Đang nung chảy
card_snake_description		A slithering, poisonous creature	Một sinh vật có độc và hay trườn
card_snake_name		Snake	Rắn
card_spring_description		A water source. Can be used to fill Empty Bottles	Một nguồn nước. Có thể dùng để đổ đầy chai không
card_spring_name		Spring	Suối
card_sugar_cane_description		It's candy flavored grass	Cỏ có vị kẹo
card_sugar_cane_name		Sugar Cane	Mía
card_sugar_cane_status		Harvesting Sugar Cane	Đang gặt Mía
card_sugar_description		Very sweet!	Rất ngọt!
card_sugar_name		Cane Sugar	Đường Mía
card_sushi_description		A delicious treat	Một món ăn ngon
card_sushi_name		Sushi	
card_tamago_sushi_description		Egg flavored sushi	Sushi vị trứng
card_tamago_sushi_name		Tamago Sushi	
card_tentacle_description		Wiggle wiggle wiggle	Lắc lư ngọ nguậy
card_tentacle_name		Tentacle	Xúc tu
card_tiger_description		A very strong cat	Một con mèo bự
card_tiger_name		Tiger	Hổ
card_trained_monkey_description		Can help you out with chores. Turns back into a normal Monkey at the end of the Moon	Có thể giúp việc cho bạn. Biến lại thành Khỉ thường vào cuối tháng
card_trained_monkey_name		Trained Monkey	Khỉ đã huấn luyện
card_treasure_map_description		X marks the spot. Needs to be searched with a Villager	Đã được đánh dấu X. Cần được tìm kiếm bởi dân làng
card_treasure_map_name		Treasure Map	Bản đồ kho báu
card_treasure_map_status		Looking for Treasure	Đang tìm kho báu
card_tuna_description		A type of fish	Một loại cá
card_tuna_name		Tuna	Cá ngừ
card_wool_description		A soft resource	Một vật liệu mềm mại
card_wool_name		Wool	Lông cừu
cardtype_fish		Fish	Cá
cardtype_rumors		Rumors	Tin đồn
empty	Intentionally left blank		Cố tình để trống
idea_aquarium_status_0		Building Aquarium	Cách xây bể cá
idea_befriending_pirate_status		Befriending Pirate	Cách làm bạn với Cướp biển
idea_bottle_status_0		Making Bottle	Cách đúc Chai
idea_cathedral_status_0		Building Cathedral	Cách xây nhà thờ
idea_ceviche_status		Making Ceviche	Cách làm Ceviche
idea_charcoal_status		Making Charcoal	Cách làm than hoạt tính
idea_charcoal_status_0		Making Charcoal	Cách làm than hoạt tính
idea_compass_status		Making Compass	Cách làm la bàn
idea_composter_status		Building Composter	Cách xây thùng ủ
idea_composting_status		Composting	Cách ủ đồ ăn
idea_cooked_crab_meat_status_0		Cooking Crab Meat	Cách nấu thịt cua
idea_cooked_fish_status_0		Grilling Fish	Cách nướng cá
idea_cracking_coconut_status		Cracking Coconut	Cách đập vỏ dừa
idea_distillery_status		Building Distillery	Cách xây nhà cất rượu
idea_eating_charcoal		Removing Poison	Cách trị độc
idea_fabric_status		Making Fabric	Cách làm vải
idea_filling_bottle_of_water		Filling Bottle	Cách đổ đầy chai
idea_fish_trap_status		Building Fish Trap	Cách xây bẫy cá
idea_fishing_rod_status		Making Fishing Rod	Cách làm cần câu
idea_frigate_status0		Building a Frigate	Cách làm thuyền chiến
idea_greenhouse_status_0		Building Greenhouse	Cách làm nhà kính
idea_growth_name_status_10		Growing Chili Pepper	Cách trồng ớt
idea_growth_name_status_9		Growing Lime	Cách trồng chanh
idea_growth_status_6		Growing Banana Tree	Cách trồng cây chuối
idea_growth_status_7		Growing Coconut Tree	Cách trồng cây dừa
idea_growth_status_8		Growing Cotton Plant	Cách trồng cây bông
idea_mess_hall_status		Building Mess Hall	Cách xây nhà ăn
idea_rope_status		Making Rope	Cách bện dây thừng
idea_rowboat_status0		Building a Rowboat	Cách làm xuồng
idea_rum_status		Making Rum	Cách làm rượu Rum
idea_sacred_key_status0		Forging Sacred Key	Cách đúc chìa khoá quý
idea_sail_status0		Making a Sail	Cách làm buồm
idea_sand_quarry_status		Building Sand Quarry	Cách làm mỏ cát
idea_sandstone_status		Creating Sandstone	Cách làm đá cát
idea_seafood_stew_status_0		Cooking Seafood Stew	Cách làm súp hải sản
idea_shell_chest_status_0		Making Shell Chest	Cách làm rương mảnh sò
idea_sloop_status0		Building a Sloop	Cách làm đồ ăn hư
idea_smelting_glass_status		Creating Glass	Cách đúc thuỷ tinh
idea_smelting_status_2		Smelting Gold	Cách nung chảy vàng
idea_smelting_status_3		Making Coin	Cách làm xu
idea_sushi_status		Making Sushi	Cách làm Sushi
idea_tamago_sushi_status		Making Tamago Sushi	Cách làm Tamago Sushi
idea_training_captain_status		Training Captain	Cách đào tạo thuyền trưởng
idea_training_fisher_status		Training Fisher	Cách đào tạo người câu cá
idea_training_monkey_status		Training Monkey	Cách huấn luyện khỉ
ideagroup_fishing		Fishing	Cách câu cá
ideagroup_important		Important	Quan trọng
ideagroup_island		Island	Đảo
ideagroup_sailing		Naval	Thuỷ chiến
label_a_rumor		A Rumor	Một tin đồn
label_awakened_something		You awakened something..	Bạn đã làm thức tỉnh một thứ gì đó..
label_awakened_the_kraken		It's a Kraken!	Nó là Kraken!
label_card_cap		Card Cap	Giới hạn lá bài
label_complete_more_island_quests_for_pack		<one>Complete 1 more Island Quest to unlock this Pack!<other>Complete [remaining] more Island Quests to unlock this Pack!	<one>Hoàn thành thêm 1 nhiệm vụ ngoài đảo để mở khoá Gói này!<other>Hoàn thành thêm [remaining] nhiệm vụ ngoài đảo để mở khoá Gói này
label_everyone_on_island_dead		Everyone on the Island died	Tất cả mọi người ngoài đảo đã chết
label_everyone_on_island_dead_text		Your cards will stay here for when you return	Những lá bài của bạn sẽ ở yên đây cho tới khi bạn quay lại
label_island_intro_1		Welcome to the Island	Chào mừng đến đảo
label_island_intro_2		While at the Island you won't have to take care of the Mainland	Khi ở đảo bạn sẽ ko cần quan tâm tới đất liền
label_island_intro_3		You can go back to the Mainland at any time using the Rowboat	Bạn có thể quay lại đất liền bất cứ khi nào với xuồng
label_island_intro_4		The Rowboat can only carry a single card - other Boats allow you to bring more cards back and forth	Xuồng chỉ có thể chở 1 lá bài - những loại thuyền khác sẽ cho phép bạn chở nhiều lá bài hơn.
label_island_intro_5		If all your Villagers die, you will be returned to the Mainland	Nếu tất cả dân làng của bạn chết, bạn sẽ quay lại đất liền
label_island_intro_6		Good luck!	Chúc may mắn!
label_island_intro_pack_text		You got a pack for beating the Demon	Bạn nhận được 1 gói bài do chiến thắng Ác quỷ
label_island_intro_pack_title		Nice!	Tuyệt vời!
label_island_intro_title		The Island!	Đảo!
label_join_our_discord		Join our Discord	Hãy vào Discord của chúng tôi
label_main_quests		Main Quests	Nhiệm vụ Chính
label_momma_crab_appeared_text		She seems angry..	Mụ ta trông có vẻ tức giận..
label_momma_crab_appeared_title		Momma Crab Appeared	Cua Mẹ đã xuất hiện
label_no_ideas_yet		You haven't found any Ideas yet	Bạn chưa tìm thấy Ý tưởng nào
label_one_villager_needs_to_stay		At least one Villager needs to stay on the Mainland	Ít nhất 1 dân làng phải ở lại đất liền
label_pirate_boat_appeared		A Pirate Boat appeared	Thuyền cướp biển xuất hiện
label_quests_complete_more_to_see		Complete more quests to see the next ones	Hoàn thành thêm nhiệm vụ để thấy những nhiệm vụ tiếp theo
label_return_to_mainland		Return to Mainland	Quay lại đất liền
label_rumor_full		Rumor: [name]	Tin đồn: [name]
label_sailing_off_title		Sail Off	Ra khơi
label_save_game		<b>Save [save_index]</b> - [percentage] complete - last played [date]	<b>Bản lưu [save_index]</b> - [percentage] hoàn thành - lần cuối chơi [date]
label_save_games		Save Game	Lưu game
label_select_save		Select Save	Chọn Bản lưu
label_side_quests		Side Quests	Nhiệm vụ Phụ
label_start_new_save		<b>Save [save_index]</b> - start new save	<b>Bản lưu[save_index]</b> - khởi đầu mới
label_status_effect		Status: [status]	Trạng thái: [status]
label_time		Time	Thời gian
label_you_killed_the_demon_lord		You killed the Demon Lord	Bạn đã giết Chúa quỷ
pack_island_advanced_text		Advanced Archipelago	Quen thuộc với quần đảo
pack_island_cooking_text		Grilling and Brewing	Nướng và nấu rượu
pack_island_ideas1_text		Island of Ideas	Ý tưởng ngoài đảo
pack_island_ideas2_text		Island Insights	Tìm hiểu đảo
pack_island_intro_text		The Island?	Đảo hoang?
pack_island_locations_text		Enclave Explorers	Ốc đảo
pack_island1_text		Fresh Isle	Chân ướt chân ráo
pack_island2_text		On The Shore	Trên bãi biển
quest_befriend_a_pirate_text		Befriend a Pirate	Làm bạn với 1 cướp biển
quest_bribe_pirate_boat_text		Bribe a Pirate Boat	Hối lộ thuyền cướp biển
quest_build_cathedral_text		Build a Cathedral on the Mainland	Xây 1 nhà thờ trên đất liền
quest_build_composter_text		Build a Composter	Xây 1 thùng ủ
quest_build_fish_trap_text		Build a Fish Trap	Xây 1 bẫy cá
quest_build_greenhouse_text		Build a Greenhouse	Xây 1 nhà kính
quest_build_mess_hall_text		Build a Mess Hall	Xây 1 nhà ăn
quest_build_rowboat_text		Build a Rowboat	Làm 1 xuồng
quest_build_sloop_text		Build a Sloop	Làm 1 thuyền nhỏ
quest_catch_a_fish_text		Catch a Fish	Bắt 1 con cá
quest_cook_crab_meat_text		Cook Crab Meat	Nấu thịt cua
quest_crack_coconut_text		Crack a Coconut	Đâp vỏ dừa
quest_cure_poison_text		Cure a Poisoned Villager	Trị độc cho dân làng
quest_drunk_villager_text		Get a Villager Drunk	Làm 1 dân làng say
quest_find_treasure_map_text		Find a Treasure Map	Tìm thấy 1 bản đồ kho báu
quest_find_treasure_text		Find Treasure	Tìm thấy kho báu
quest_forge_sacred_key_text		Forge Sacred Key	Đúc chìa khoá quý
quest_get_2_bananas_text		Get 2 Bananas	Có 2 quả chuối
quest_have_shells_text		Have [count] Shells	Có [count] mảnh sò
quest_island_relic_to_cathedral_text		Bring the Island Relic to the Cathedral	Mang thánh vật đảo tới nhà thờ
quest_kill_demon_lord_text		Kill the Demon Lord	Tiêu diệt Chúa quỷ
quest_kill_kraken_text		Kill the Kraken	Tiêu diệt Kraken
quest_kill_momma_crab_text		Kill Momma Crab	Tiêu diệt Cua mẹ
quest_make_ceviche_text		Make Ceviche	Làm 1 đĩa Ceviche
quest_make_fish_trap_text		Make a Fish Trap	Làm 1 bẫy cá
quest_make_glass_text		Make Glass	Đúc thuỷ tinh
quest_make_gold_bar_text		Make a Gold Bar	Đúc thanh Vàng
quest_make_rope_text		Make Rope	Bện dây thừng
quest_make_rum_text		Make a Bottle of Rum	Làm một chai rượu Rum
quest_make_sail_text		Make a Sail	Làm 1 cánh buồm
quest_make_sandstone_text		Make Sandstone	Làm đá cát
quest_make_seafood_stew_text		Make a Seafood Stew	Làm súp hải sản
quest_make_sushi_text		Make Sushi	Làm Sushi
quest_open_message_in_a_bottle_text		Open a Message in a Bottle	Xem tin nhắn trong chai
quest_open_sacred_chest_text		Open the Sacred Chest	Mở rương quý
quest_poisoned_villager_text		Have a Poisoned Villager	Có một dân làng bị độc
quest_punch_driftwood_text		Punch some Driftwood	Đấm gỗ dạt
quest_train_a_fisher_text		Train a Fisher	Đào tạo 1 người câu cá
quest_train_captain_text		Train a Captain	Đào tạo 1 thuyền trưởng
quest_unlock_all_island_packs_text		Unlock all Island Packs	Mở khoá tất cả các Gói bài của Đảo
questgroup_building		Construction	Xây dựng
questgroup_cooking		Potluck	Lẩu thập cẩm
questgroup_exploration		Discovery	Phát hiện mới
questgroup_fighting		Power & Skill	Sức mạnh và kỹ năng
questgroup_island		Island Ambitions	Tham vọng đảo hoang
questgroup_island_beginnings		Marooned	Bị bỏ lại đảo hoang
questgroup_island_combat		Enclave Encounters	
questgroup_island_cooking		Island Grub	
questgroup_island_mainquest		Mystery of the Island	
questgroup_island_misc		Island Other	
questgroup_mainquest		The Grand Scheme	
questgroup_other		Other	
questgroup_resources		Ways and Means	
questgroup_starter		Welcome	
questgroup_survival		Longevity	
rumor_eel_bait_description		When using a Fish Trap, Banana can be used to catch Eel	Khi bẫy cá, có thể dùng chuối để bắt lươn
rumor_eel_bait_name		Eel Bait	Mồi lươn
rumor_island_description		Gold and Glass can be found on the Island	Có thể tìm thấy Vàng và Thuỷ tinh trên đảo
rumor_island_name		The Island	Đảo
rumor_shark_bait_description		When using a Fish Trap, Raw Meat can be used to catch Shark	Khi bẫy cá, có thể dùng thịt sống để bắt cá mập
rumor_shark_bait_name		Shark Bait	Mồi cá mập
rumor_tuna_bait_description		When using a Fish Trap, Lime can be used to catch Tuna	Khi bẫy cá, có thể dùng chanh để bắt cá ngừ
rumor_tuna_bait_name		Tuna Bait	Mồi cá ngừ
statuseffect_drunk_description		Decreases work speed, decreases hit chance, increases max damage	Giảm tốc độ làm việc, giảm độ chính xác, tăng sát thương tối đa
statuseffect_drunk_lore		Enjoy responsibly	Thưởng thức có trách nhiệm
statuseffect_drunk_name		Drunk	Say
statuseffect_poison_description		Deals damage every 60s	Bị tổn thương mỗi 60 giây
statuseffect_poison_lore		Dangerous poison runs through their veins, they need an antidote as soon as possible	Độc ngấm vào mạch máu, cần được trị độc sớm nhất có thể
statuseffect_poison_name		Poisoned	Bị trúng độc
statuseffect_spoiling_description		Will turn into Goop after 1 Moon	Sẽ biến thành đồ ăn hư sau 1 tháng
statuseffect_spoiling_lore		Left out in the sun for a bit too long	Để ngoài trời hơi lâu
statuseffect_spoiling_name		Spoiling	Bắt đầu bị thiu
statuseffect_stunned_description		Unable to attack for 5s	Không thế tấn công trong 5 giây
statuseffect_stunned_lore		That hit really hurt..	Cú đó đau quá..
statuseffect_stunned_name		Stunned	Bị choáng
statuseffect_wellfed_description		Increases work speed	Tăng tốc độ làm việc
statuseffect_wellfed_lore		The hearty meal did them well	Ăn uống no nê tăng năng suất làm việc
statuseffect_wellfed_name		Well Fed	No căng
label_sailing_off_full		Sailing Off	Đang ra khơi
language_dutch		Dutch	Tiếng Hà Lan
language_french		French	Tiếng Pháp
language_german		German	Tiếng Đức
language_italian		Italian	Tiếng Ý
language_polish		Polish	Tiếng Ba Lan
language_spanish		Spanish	Tiếng Tây Ban Nha
credits_aran		Concept, programming, design	Khái niệm, lập trình, thiết kế
credits_lisa		Game art	Đồ hoạ
credits_sokpop		Game by Sokpop	Trò chơi bỏi Sokpop
credits_local_heroes		Localisation	Dịch giả
credits_special_thanks		Special Thanks	Đặc biệt cảm ơn
label_relic_brought_to_cathedral		The Relic was brought to the Cathedral	Thánh vật đã được đặt vào Nhà thờ
label_controls		Controls	Tốc độ
control_time_1		1x Speed	Tốc độ bình thường
control_time_2		5x Speed	Tốc độ gấp 5 lần
control_time_3		0x Speed	Tốc độ về 0
control_time_pause		Pause Time	Tạm dừng thời gian
control_panel_collapse		Toggle Sidebar	Ẩn hiện thanh bên
control_zoom		Zoom	Phóng to
control_sell		Sell Card	Bán lá bài
control_time_toggle		Toggle Time	Ẩn hiện thời gian
control_pause		Pause Game	Tạm dừng
control_grab		Grab	Nhặt lên
control_activate_UI		Activate UI	Hiện Giao diện
control_move		Move	Di chuyển
control_snap_move		Snap Move	Khoá sau khi di chuyển
control_snap_cards		Snap Cards To Grid	Khoá lá bài vào lưới
label_keyboard_mouse		Keyboard & Mouse	Bàn phím và Chuột
label_controller		Controller	Tay cầm
label_waiting_for_input		Waiting for input	Đang đợi nhập
label_sellbox_description		Drag Cards here to sell them. You can also use [action_sell] to sell cards.	Kéo lá bài vào đây để bán. Bạn cũng có thể nhấn [action_sell] để bán.
label_time_infobox	Controls can now be rebound, so that the parameters will be replaced with the appropriate key	The current Time. Use [action_time_pause] to pause or use [action_time_toggle] to toggle between Game Speeds	Thời gian hiện tại. Nhấn [action_time_pause] để tạm dừng hoặc nhấn [action_time_toggle] để chuyển đổi giữa các tốc độ trò chơi
label_toggle_panel_text	Controls can now be rebound, so that the parameters will be replaced with the appropriate key	Press this button or press [action_panel_collapse] to toggle the Quests and Ideas Tab	Nhấn nút này hoặc nhấn [action_panel_collapse] để ẩn/hiện Bảng nhiệm vụ và ý tưởng
label_auto_pause_controller		Automatically pause time when dragging cards (controller):	Tự động dừng thời gian khi kéo lá bài (tay cầm):
label_auto_pause_keyboardmouse		Automatically pause time when dragging cards (keyboard):	Tự động dừng thời gian khi kéo lá bài (bàn phím):
label_binding	Used when rebinding a control to a key	Assigning [control]	Gán [control]
label_accessibility		Accessibility	Trợ năng
language_portuguese		Brazilian Portuguese	Tiếng Bồ Đào Nha(Brazil)
language_chinese		Chinese	Tiếng Trung
language_japanese		Japanese	Tiếng Nhật
language_korean		Korean	Tiếng Hàn
label_progress_stored		Progress will be saved	Quá trình chơi sẽ được lưu
label_go_to_island_prompt		Are you sure you want to travel to the Island? This will first end the current Moon and feed your Villagers	Bạn có chắc là muốn ra đảo? Tháng này sẽ kết thúc và dân làng của bạn sẽ bắt đầu ăn.
label_return_to_mainland_prompt		Are you sure you want to travel back to the Mainland? This will first end the current Moon and feed your Villagers	Bạn có chắc là muốn về đất liền? Tháng này sẽ kết thúc và dân làng của bạn sẽ bắt đầu ăn.
label_not_enough_food_before_sailing		You need to have enough Food for your Villagers before you can sail off	Bạn không có đủ đồ ăn cho dân làng trước khi ra khơi
idea_growth_status_11		Growing Seaweed	Đang trồng rong biển
card_market_description		Can be used to sell Cards for more than usual	Có thể dùng để bán lá bài với giá cao hơn bình thường
idea_growth_status_12		Growing Sugar Cane	Đang trồng mía
label_framerate_cap		Framerate limit: [fps_cap]	
label_framerate_unlimited		None	
label_framerate_30		30 FPS	
label_framerate_60		60 FPS	
label_framerate_120		120 FPS	
credits_wouter		Programming	Lập trình viên